Момент времени (сут),ID Состояния,Название погоды
115.4289,3,Пасмурно
115.988,2,Облачно
116.3792,3,Пасмурно
116.8006,2,Облачно
117.9225,1,Ясно
118.0633,2,Облачно
118.1075,3,Пасмурно
119.8677,2,Облачно
120.9654,1,Ясно
121.5746,2,Облачно
127.3597,3,Пасмурно
128.2013,2,Облачно
128.3419,3,Пасмурно
128.7244,2,Облачно
129.2738,1,Ясно
129.3125,2,Облачно
129.3395,3,Пасмурно
130.8968,2,Облачно
130.9953,1,Ясно
132.6688,2,Облачно
132.7616,1,Ясно
133.062,3,Пасмурно
133.3619,2,Облачно
136.948,3,Пасмурно
137.6056,2,Облачно
139.8641,1,Ясно
141.9945,2,Облачно
142.7161,3,Пасмурно
142.9366,2,Облачно
144.5756,3,Пасмурно
146.688,2,Облачно
146.7196,3,Пасмурно
147.4052,2,Облачно
148.5424,3,Пасмурно
149.2486,2,Облачно
149.3523,3,Пасмурно
149.6882,2,Облачно
149.7305,1,Ясно
150.7984,2,Облачно
151.8412,1,Ясно
152.1781,2,Облачно
154.325,3,Пасмурно
154.5346,2,Облачно
156.3873,3,Пасмурно
159.0358,2,Облачно
159.51,3,Пасмурно
160.8286,1,Ясно
164.1424,2,Облачно
164.6683,1,Ясно
165.8327,2,Облачно
167.6281,1,Ясно
169.0275,2,Облачно
169.254,3,Пасмурно
170.6758,2,Облачно
171.6806,1,Ясно
173.0123,3,Пасмурно
173.4769,2,Облачно
173.9505,3,Пасмурно
174.2603,2,Облачно
174.2613,3,Пасмурно
176.1987,2,Облачно
181.5768,1,Ясно
181.6373,3,Пасмурно
181.7666,2,Облачно
181.8344,1,Ясно
182.8402,2,Облачно
185.5091,3,Пасмурно
187.2564,2,Облачно
188.4012,1,Ясно
189.1183,2,Облачно
190.2352,3,Пасмурно
190.7448,2,Облачно
190.8074,3,Пасмурно
193.054,2,Облачно
193.0668,3,Пасмурно
194.2408,2,Облачно
194.2609,1,Ясно
195.5416,2,Облачно
196.0454,3,Пасмурно
197.08,2,Облачно
197.2663,1,Ясно
197.4206,3,Пасмурно
197.6437,2,Облачно
197.8318,1,Ясно
198.8443,2,Облачно
198.8989,1,Ясно
199.0305,2,Облачно
199.3063,3,Пасмурно
199.612,2,Облачно
200.8951,1,Ясно
201.4531,2,Облачно
201.5152,1,Ясно
204.5437,2,Облачно
204.8969,1,Ясно
206.6641,2,Облачно
207.0329,3,Пасмурно
210.7129,1,Ясно
211.2976,2,Облачно
212.1499,3,Пасмурно
213.0176,2,Облачно
218.7603,3,Пасмурно
223.8618,2,Облачно
224.3884,3,Пасмурно
224.8592,2,Облачно
225.7654,1,Ясно
228.3828,3,Пасмурно
229.0966,1,Ясно
230.1859,3,Пасмурно
231.2516,2,Облачно
231.4129,1,Ясно
233.2399,2,Облачно
234.1482,1,Ясно
235.9552,2,Облачно
236.4759,3,Пасмурно
237.1705,2,Облачно
237.8383,3,Пасмурно
238.7057,2,Облачно
239.3191,3,Пасмурно
240.4997,2,Облачно
241.1124,1,Ясно
243.9751,3,Пасмурно
245.1871,2,Облачно
245.3083,3,Пасмурно
248.7666,2,Облачно
248.8136,3,Пасмурно
250.5202,2,Облачно
251.0333,3,Пасмурно
252.1165,2,Облачно
252.902,3,Пасмурно
257.0551,2,Облачно
259.1444,1,Ясно
259.8686,2,Облачно
260.1629,1,Ясно
260.6898,3,Пасмурно
260.807,2,Облачно
261.1045,3,Пасмурно
261.4421,2,Облачно
261.9522,3,Пасмурно
263.7164,2,Облачно
264.3753,3,Пасмурно
264.5313,2,Облачно
268.8901,3,Пасмурно
270.649,2,Облачно
270.6923,3,Пасмурно
273.3025,2,Облачно
273.5752,3,Пасмурно
274.1117,2,Облачно
275.2763,1,Ясно
278.5823,2,Облачно
278.6043,1,Ясно
279.4672,2,Облачно
279.8166,3,Пасмурно
279.9321,2,Облачно
279.9899,1,Ясно
280.5215,2,Облачно
280.7754,1,Ясно
281.1612,2,Облачно
281.7144,3,Пасмурно
281.7295,2,Облачно
282.5767,3,Пасмурно
282.6082,2,Облачно
284.003,1,Ясно
284.2617,3,Пасмурно
284.4794,1,Ясно
284.5839,2,Облачно
286.4694,1,Ясно
286.9779,3,Пасмурно
287.1549,2,Облачно
288.6539,1,Ясно
288.883,2,Облачно
292.9961,3,Пасмурно
293.1885,2,Облачно
293.2251,3,Пасмурно
293.4386,2,Облачно
294.1722,1,Ясно
295.8909,3,Пасмурно
297.4876,2,Облачно
299.2588,1,Ясно
300.1331,2,Облачно
300.3428,1,Ясно
300.6163,2,Облачно
301.8827,3,Пасмурно
303.0506,2,Облачно
304.1145,3,Пасмурно
304.9308,2,Облачно
305.4036,3,Пасмурно
307.7714,2,Облачно
308.1639,3,Пасмурно
309.0834,2,Облачно
310.0443,1,Ясно
310.5981,2,Облачно
311.4557,3,Пасмурно
311.8094,2,Облачно
312.2296,3,Пасмурно
314.3397,2,Облачно
314.4695,3,Пасмурно
315.2229,2,Облачно
315.5159,1,Ясно
315.9273,3,Пасмурно
316.919,2,Облачно
317.5468,1,Ясно
319.7935,2,Облачно
319.9933,3,Пасмурно
321.9795,2,Облачно
322.381,3,Пасмурно
323.4061,2,Облачно
323.6477,1,Ясно
325.8301,2,Облачно
326.0614,1,Ясно
326.2822,2,Облачно
326.6901,1,Ясно
328.5174,2,Облачно
329.2924,3,Пасмурно
329.9725,2,Облачно
329.9927,1,Ясно
331.3479,2,Облачно
331.6458,3,Пасмурно
333.5045,1,Ясно
334.2541,2,Облачно
334.8517,1,Ясно
335.4801,2,Облачно
335.9155,3,Пасмурно
337.9258,1,Ясно
339.658,2,Облачно
340.4596,1,Ясно
341.4233,2,Облачно
343.5157,3,Пасмурно
344.334,2,Облачно
344.9621,1,Ясно
349.4494,2,Облачно
352.0003,1,Ясно
352.6405,3,Пасмурно
356.0519,1,Ясно
356.5525,2,Облачно
356.6372,3,Пасмурно
357.5467,2,Облачно
358.3639,1,Ясно
358.8706,2,Облачно
359.3213,3,Пасмурно
359.7468,2,Облачно
360.423,1,Ясно
362.749,2,Облачно
363.3855,3,Пасмурно
364.0842,2,Облачно
365.1427,1,Ясно
365.761,3,Пасмурно
370.6452,2,Облачно
371.2485,3,Пасмурно
376.9559,2,Облачно
377.02,3,Пасмурно
377.1819,2,Облачно
377.6457,3,Пасмурно
378.1594,2,Облачно
381.2364,1,Ясно
381.2574,2,Облачно
381.8303,3,Пасмурно
382.7319,2,Облачно
382.7453,1,Ясно
383.8452,3,Пасмурно
384.6722,2,Облачно
385.9253,1,Ясно
386.044,2,Облачно
386.1515,3,Пасмурно
386.9776,2,Облачно
387.6821,3,Пасмурно
389.8127,2,Облачно
389.931,3,Пасмурно
391.98,2,Облачно
392.063,3,Пасмурно
393.2055,2,Облачно
397.3321,1,Ясно
397.8847,2,Облачно
398.8854,1,Ясно
400.9885,3,Пасмурно
401.8719,2,Облачно
401.9969,3,Пасмурно
402.1664,2,Облачно
402.2513,1,Ясно
402.7335,2,Облачно
403.6504,3,Пасмурно
405.5616,2,Облачно
405.8934,3,Пасмурно
406.6204,2,Облачно
408.1839,1,Ясно
410.2891,2,Облачно
412.7985,1,Ясно
414.2004,2,Облачно
415.6291,1,Ясно
415.9775,2,Облачно
417.7307,3,Пасмурно
418.9453,2,Облачно
419.0457,3,Пасмурно
419.4868,1,Ясно
421.147,2,Облачно
425.5397,3,Пасмурно
425.6687,2,Облачно
426.752,3,Пасмурно
429.0773,2,Облачно
431.6331,3,Пасмурно
432.7042,2,Облачно
433.3211,3,Пасмурно
434.2361,2,Облачно
434.724,1,Ясно
438.3665,2,Облачно
439.7232,1,Ясно
441.0763,2,Облачно
444.6675,3,Пасмурно
445.9054,2,Облачно
447.3347,1,Ясно
449.4609,2,Облачно
450.5423,3,Пасмурно
450.8404,2,Облачно
451.2853,3,Пасмурно
451.4335,1,Ясно
452.4542,2,Облачно
452.9462,3,Пасмурно
454.5071,1,Ясно
456.1989,2,Облачно
456.6974,1,Ясно
456.9485,3,Пасмурно
457.5236,2,Облачно
457.6181,1,Ясно
458.4925,2,Облачно
460.039,3,Пасмурно
461.8222,2,Облачно
467.423,1,Ясно
470.881,2,Облачно
471.3914,1,Ясно
473.3541,2,Облачно
474.8366,1,Ясно
475.0133,2,Облачно
475.212,3,Пасмурно
475.3317,2,Облачно
476.065,3,Пасмурно
477.1452,2,Облачно
477.1459,3,Пасмурно
477.4922,2,Облачно
478.0994,1,Ясно
478.4914,2,Облачно
480.2654,3,Пасмурно
480.3354,1,Ясно
481.2892,2,Облачно
481.5564,3,Пасмурно
481.897,2,Облачно
484.0126,3,Пасмурно
486.4432,2,Облачно
487.0651,3,Пасмурно
487.5786,2,Облачно
488.4676,3,Пасмурно
491.3419,1,Ясно
491.6439,2,Облачно
491.9034,1,Ясно
492.0108,2,Облачно
492.2494,3,Пасмурно
492.3161,2,Облачно
493.165,1,Ясно
493.9865,2,Облачно
495.8367,1,Ясно
501.7522,2,Облачно
504.8466,3,Пасмурно
505.0402,2,Облачно
